source,target,version,fromRole,toRole
k9.mail.TransportUris,k9.mail.ConnectionSecurity,2017-11-15-k9-c113c23f5e23b269068aea3e8980a25b06e7f6e9,Service Provider,Information Holder
k9.mail.TransportUris,k9.mail.ServerSettings,2017-11-15-k9-c113c23f5e23b269068aea3e8980a25b06e7f6e9,Service Provider,Information Holder
k9.mail.TransportUris,k9.mail.store.webdav.WebDavStore,2017-11-15-k9-c113c23f5e23b269068aea3e8980a25b06e7f6e9,Service Provider,Information Holder
k9.mail.TransportUris,k9.mail.store.webdav.WebDavStoreSettings,2017-11-15-k9-c113c23f5e23b269068aea3e8980a25b06e7f6e9,Service Provider,Information Holder
k9.mail.filter.Base64OutputStream,k9.mail.filter.Base64,2017-11-15-k9-c113c23f5e23b269068aea3e8980a25b06e7f6e9,Coordinator,Service Provider
k9.mail.internet.BinaryTempFileBody,k9.mail.MessagingException,2017-11-15-k9-c113c23f5e23b269068aea3e8980a25b06e7f6e9,Information Holder,Information Holder
k9.mail.internet.BinaryTempFileBody,k9.mail.internet.RawDataBody,2017-11-15-k9-c113c23f5e23b269068aea3e8980a25b06e7f6e9,Information Holder,Service Provider
k9.mail.internet.BinaryTempFileBody,k9.mail.internet.SizeAware,2017-11-15-k9-c113c23f5e23b269068aea3e8980a25b06e7f6e9,Information Holder,Service Provider
k9.mail.internet.BinaryTempFileMessageBody,k9.mail.Body,2017-11-15-k9-c113c23f5e23b269068aea3e8980a25b06e7f6e9,Information Holder,Service Provider
k9.mail.internet.BinaryTempFileMessageBody,k9.mail.MessagingException,2017-11-15-k9-c113c23f5e23b269068aea3e8980a25b06e7f6e9,Information Holder,Information Holder
k9.mail.internet.BinaryTempFileMessageBody,k9.mail.internet.BinaryTempFileBody,2017-11-15-k9-c113c23f5e23b269068aea3e8980a25b06e7f6e9,Information Holder,Information Holder
k9.mail.internet.CharsetSupport,k9.mail.Message,2017-11-15-k9-c113c23f5e23b269068aea3e8980a25b06e7f6e9,Service Provider,Structurer
k9.mail.internet.CharsetSupport,k9.mail.MessagingException,2017-11-15-k9-c113c23f5e23b269068aea3e8980a25b06e7f6e9,Service Provider,Information Holder
k9.mail.internet.CharsetSupport,k9.mail.Part,2017-11-15-k9-c113c23f5e23b269068aea3e8980a25b06e7f6e9,Service Provider,Service Provider
k9.mail.internet.CharsetSupport,k9.mail.internet.JisSupport,2017-11-15-k9-c113c23f5e23b269068aea3e8980a25b06e7f6e9,Service Provider,Service Provider
k9.mail.internet.DecoderUtil,k9.mail.Message,2017-11-15-k9-c113c23f5e23b269068aea3e8980a25b06e7f6e9,Service Provider,Structurer
k9.mail.internet.EncoderUtil,k9.mail.internet.CharsetSupport,2017-11-15-k9-c113c23f5e23b269068aea3e8980a25b06e7f6e9,Service Provider,Service Provider
k9.mail.internet.FlowedMessageUtils,k9.mail.internet.MimeUtility,2017-11-15-k9-c113c23f5e23b269068aea3e8980a25b06e7f6e9,Service Provider,Service Provider
k9.mail.internet.JisSupport,k9.mail.Address,2017-11-15-k9-c113c23f5e23b269068aea3e8980a25b06e7f6e9,Service Provider,Service Provider
k9.mail.internet.JisSupport,k9.mail.Message,2017-11-15-k9-c113c23f5e23b269068aea3e8980a25b06e7f6e9,Service Provider,Structurer
k9.mail.internet.JisSupport,k9.mail.MessagingException,2017-11-15-k9-c113c23f5e23b269068aea3e8980a25b06e7f6e9,Service Provider,Information Holder
k9.mail.internet.JisSupport,k9.mail.Part,2017-11-15-k9-c113c23f5e23b269068aea3e8980a25b06e7f6e9,Service Provider,Service Provider
k9.mail.internet.ListHeaders,k9.mail.Address,2017-11-15-k9-c113c23f5e23b269068aea3e8980a25b06e7f6e9,Service Provider,Service Provider
k9.mail.internet.ListHeaders,k9.mail.Message,2017-11-15-k9-c113c23f5e23b269068aea3e8980a25b06e7f6e9,Service Provider,Structurer
k9.mail.internet.MessageExtractor,k9.mail.Body,2017-11-15-k9-c113c23f5e23b269068aea3e8980a25b06e7f6e9,Service Provider,Service Provider
k9.mail.internet.MessageExtractor,k9.mail.BodyPart,2017-11-15-k9-c113c23f5e23b269068aea3e8980a25b06e7f6e9,Service Provider,Information Holder
k9.mail.internet.MessageExtractor,k9.mail.Message,2017-11-15-k9-c113c23f5e23b269068aea3e8980a25b06e7f6e9,Service Provider,Structurer
k9.mail.internet.MessageExtractor,k9.mail.MessagingException,2017-11-15-k9-c113c23f5e23b269068aea3e8980a25b06e7f6e9,Service Provider,Information Holder
k9.mail.internet.MessageExtractor,k9.mail.Multipart,2017-11-15-k9-c113c23f5e23b269068aea3e8980a25b06e7f6e9,Service Provider,Structurer
k9.mail.internet.MessageExtractor,k9.mail.Part,2017-11-15-k9-c113c23f5e23b269068aea3e8980a25b06e7f6e9,Service Provider,Service Provider
k9.mail.internet.MessageExtractor,k9.mail.internet.MimeUtility,2017-11-15-k9-c113c23f5e23b269068aea3e8980a25b06e7f6e9,Service Provider,Service Provider
k9.mail.internet.MessageExtractor,k9.mail.internet.Viewable,2017-11-15-k9-c113c23f5e23b269068aea3e8980a25b06e7f6e9,Service Provider,Information Holder
k9.mail.internet.MessageIdGenerator,k9.mail.Address,2017-11-15-k9-c113c23f5e23b269068aea3e8980a25b06e7f6e9,Coordinator,Service Provider
k9.mail.internet.MessageIdGenerator,k9.mail.Message,2017-11-15-k9-c113c23f5e23b269068aea3e8980a25b06e7f6e9,Coordinator,Structurer
k9.mail.internet.MimeBodyPart,k9.mail.Body,2017-11-15-k9-c113c23f5e23b269068aea3e8980a25b06e7f6e9,Structurer,Service Provider
k9.mail.internet.MimeBodyPart,k9.mail.BodyPart,2017-11-15-k9-c113c23f5e23b269068aea3e8980a25b06e7f6e9,Structurer,Information Holder
k9.mail.internet.MimeBodyPart,k9.mail.MessagingException,2017-11-15-k9-c113c23f5e23b269068aea3e8980a25b06e7f6e9,Structurer,Information Holder
