version,package,path,username
,k9.message.extractors,app/core/src/main/java/com/fsck,Dimetrius82
,k9.message.html,app/core/src/main/java/com/fsck,Dimetrius82
,k9.message.quote,app/core/src/main/java/com/fsck,Dimetrius82
,k9.message.signature,app/core/src/main/java/com/fsck,Dimetrius82
,k9.notification,app/k9mail/src/main/java/com/fsck,Dimetrius82
,k9.power,app/core/src/main/java/com/fsck,Dimetrius82
,k9.preferences,app/core/src/main/java/com/fsck,Dimetrius82
,k9.preferences,app/storage/src/main/java/com/fsck,Dimetrius82
,k9.preferences.migrations,app/storage/src/main/java/com/fsck,Dimetrius82
,k9.provider,app/core/src/main/java/com/fsck,Dimetrius82
,k9.search,app/core/src/main/java/com/fsck,Dimetrius82
,k9.service,app/core/src/main/java/com/fsck,Dimetrius82
,k9.storage,app/storage/src/main/java/com/fsck,Dimetrius82
,k9.storage.migrations,app/storage/src/main/java/com/fsck,Dimetrius82
,k9.ui,app/ui/src/main/java/com/fsck,Dimetrius82
,k9.ui.compose,app/ui/src/main/java/com/fsck,Dimetrius82
,k9.ui.crypto,app/ui/src/main/java/com/fsck,Dimetrius82
,k9.ui.dialog,app/ui/src/main/java/com/fsck,Dimetrius82
,k9.ui.helper,app/ui/src/main/java/com/fsck,Dimetrius82
,k9.ui.message,app/ui/src/main/java/com/fsck,Dimetrius82
,k9.ui.messageview,app/ui/src/main/java/com/fsck,Dimetrius82
,k9.ui.settings,app/ui/src/main/java/com/fsck,Dimetrius82
,k9.ui.settings.account,app/ui/src/main/java/com/fsck,Dimetrius82
,k9.view,app/ui/src/main/java/com/fsck,Dimetrius82
,k9.widget,app/k9mail/src/main/java/com/fsck,Dimetrius82
,k9.widget.list,app/k9mail/src/main/java/com/fsck,Dimetrius82
